Age, Animals, Grass, Available Spaces, Average Energy, Average Death Age, Most Popular Genotype
528,491,1662,7847,175.52953,66.43267,[5 2 4 2 2]
529,486,1661,7853,177.5823,66.69917,[5 2 4 2 2]
530,487,1660,7853,177.4538,66.68289,[5 2 4 2 2]
531,482,1649,7869,180.6224,66.720955,[5 2 4 2 2]
532,479,1650,7871,181.7641,66.71801,[5 2 4 2 2]
533,474,1650,7876,183.9557,66.697,[5 2 4 2 2]
534,470,1635,7895,187.32979,66.714,[5 2 4 2 2]
535,469,1634,7897,188.1663,66.78951,[5 2 4 2 2]
536,466,1640,7894,189.09871,66.81941,[5 2 4 2 2]
537,464,1632,7904,191.05603,66.82005,[5 2 4 2 2]
538,468,1625,7907,190.51282,66.759674,[5 2 4 2 2]
539,468,1627,7905,190.64102,66.7567,[5 2 4 2 2]
540,472,1627,7901,189.32204,66.79398,[6 0 6 4 6]
541,481,1633,7886,185.35342,66.91934,[6 0 6 4 6]
542,480,1629,7891,186.36458,66.99741,[6 0 6 4 6]
543,487,1636,7877,183.10062,67.16119,[6 0 6 4 6]
544,494,1621,7885,182.08502,67.26147,[6 0 6 4 6]
545,498,1623,7879,180.34137,67.26021,[6 0 6 4 6]
546,495,1621,7884,181.68687,67.28637,[6 0 6 4 6]
547,493,1624,7883,182.19067,67.328636,[6 0 6 4 6]
548,497,1622,7881,180.95573,67.30935,[6 0 6 4 6]
549,500,1617,7883,180.37,67.30935,[6 0 6 4 6]
550,497,1609,7894,182.29376,67.29717,[6 0 6 4 6]
551,495,1615,7890,182.47475,67.5235,[6 0 6 4 6]
552,503,1622,7875,178.84692,67.48681,[6 0 6 4 6]
553,505,1622,7873,178.08911,67.489586,[6 0 6 4 6]
554,505,1632,7863,177.0495,67.499954,[6 0 6 4 6]
555,506,1638,7856,176.04742,67.61362,[6 0 6 4 6]
556,507,1631,7862,176.3215,67.65624,[6 0 6 4 6]
557,504,1635,7861,176.93452,67.630516,[6 0 6 4 6]
558,502,1626,7872,178.51593,67.661224,[6 0 6 4 6]
559,498,1624,7878,180.17068,67.67118,[6 0 6 4 6]
560,505,1608,7887,179.20792,67.70657,[6 0 6 4 6]
561,508,1597,7895,179.15355,67.72795,[6 0 6 4 6]
562,509,1591,7900,179.30255,67.729546,[6 0 6 4 6]
563,507,1586,7907,180.43393,67.72843,[6 0 6 4 6]
564,509,1587,7904,179.53831,67.72695,[6 0 6 4 6]
565,507,1578,7915,181.0651,67.78674,[6 0 6 4 6]
566,508,1555,7937,182.8937,67.78553,[6 0 6 4 6]
567,513,1551,7936,181.37427,67.799934,[6 0 6 4 6]
568,512,1546,7942,182.09961,67.77111,[6 0 6 4 6]
569,514,1548,7938,181.06032,67.7813,[6 0 6 4 6]
570,513,1540,7947,182.06628,67.76129,[5 2 4 2 2]
571,511,1531,7958,183.55186,67.69039,[5 2 4 2 2]
572,512,1523,7965,183.85742,67.683395,[5 2 4 2 2]
573,510,1522,7968,184.57843,67.69637,[5 2 4 2 2]
574,513,1532,7955,182.39766,67.72164,[5 2 4 2 2]
575,518,1518,7964,181.81467,67.783966,[5 2 4 2 2]
576,518,1527,7955,180.7722,67.81354,[5 2 4 2 2]
577,520,1539,7941,178.73077,67.84455,[5 2 4 2 2]
578,515,1544,7941,179.83495,67.84705,[5 2 4 2 2]
579,521,1541,7938,177.85028,67.90823,[5 2 4 2 2]
580,523,1530,7947,178.0019,67.92368,[5 7 7 4 7]
581,527,1515,7958,177.81784,67.9524,[3 1 0 2 3]
582,521,1510,7969,180.14395,67.976234,[3 1 0 2 3]
583,520,1503,7977,180.97116,68.047844,[3 1 0 2 3]
584,523,1493,7984,180.66922,68.0331,[3 1 0 2 3]
585,523,1480,7997,181.59656,68.03306,[3 1 0 2 3]
586,527,1480,7993,179.96205,68.060776,[3 1 0 2 3]
587,523,1481,7996,181.02295,68.006256,[3 1 0 2 3]
588,529,1483,7988,178.50662,68.02612,[3 1 0 2 3]
589,532,1469,7999,178.51505,68.06997,[3 1 0 2 3]
590,533,1460,8007,178.5272,68.12466,[3 1 0 2 3]
591,536,1462,8002,177.0056,68.13345,[3 1 0 2 3]
592,530,1465,8005,178.44339,68.0936,[3 1 0 2 3]
593,536,1460,8004,176.57649,68.10808,[3 1 0 2 3]
594,533,1448,8019,178.29268,68.15677,[3 1 0 2 3]
595,531,1451,8018,178.38983,68.127884,[3 1 0 2 3]
596,528,1440,8032,180.17993,68.219604,[3 1 0 2 3]
597,528,1436,8036,180.29356,68.23056,[3 1 0 2 3]
598,534,1447,8019,176.91948,68.23238,[3 1 0 2 3]
599,530,1441,8029,178.53773,68.187164,[3 1 0 2 3]
600,529,1434,8037,179.26276,68.25157,[3 1 0 2 3]
